CNETID,backdoor_model
1a01820fb5a139afa24cbdb83af8917fc27425d37acdfb857d3d19941a31a3fa,vgg16_gtsrb_backdoored_0.pth
3bf7db6870e642b11f834b644b33d38e3fe97dd753fd8406668c1616b1d7bb82,vgg16_gtsrb_backdoored_2.pth
63dcfa2f2742c667df74d857b98bbc8b59490b47c7ba97690e83985b67d2ecbe,vgg16_gtsrb_backdoored_0.pth
d34271f8f37ec9665f8fdb51cfb04d242999e5aa8bef681cbdda1119b76a2fe7,vgg16_gtsrb_backdoored_3.pth
98418db1f0d68b01cde2ed97c81297b08dfb0e1d2b59f44cb96340bfafb92628,vgg16_gtsrb_backdoored_2.pth
4636df13acf60ee7ce77a315130c1ccb47e612eb8a7acd1affa48333ddbbe9d1,vgg16_gtsrb_backdoored_0.pth
6ff7080fa2137a30525a832110271f5eab2f5dc4afe50073b194e9a892dfdc6e,vgg16_gtsrb_backdoored_0.pth
f993ae4be88fb06a2d4fb8b56206ccda4273c924a30f012413e0c51a62333ab6,vgg16_gtsrb_backdoored_3.pth
c8fd1c5ee5630035ff44ad0b7ee8ead0ff9f8394fad11cfab45410e039d6969f,vgg16_gtsrb_backdoored_4.pth
565337297b457c536475d72f4cdd0cf2999859fea0e640065c914f09c3a5040a,vgg16_gtsrb_backdoored_4.pth
0c8b23f0107cb9df2da7f8581017654cc6daaf527b36fea8f3660de62a81ba78,vgg16_gtsrb_backdoored_2.pth
f21e92e3eaf55dcc9e08234c5b03cc2e48691e1c84352eea513c09795a6526e6,vgg16_gtsrb_backdoored_2.pth
542578f23f5394be913639b10f29c7deac2b82ba841c45697c4999dba037922f,vgg16_gtsrb_backdoored_0.pth
2311b8344e263e5a4acb6009ba1c37c96a9be311736f6af62f98dfee756f025d,vgg16_gtsrb_backdoored_1.pth
e7d298503a2b9609c28e9ecfc0fa772f29c24f769c6d606e6366797ccc295ec4,vgg16_gtsrb_backdoored_1.pth
49a9c8211a021af9f9066ffb6e41623e6eee2fb8b452df3ea9eb85ba9fd1c556,vgg16_gtsrb_backdoored_2.pth
